Артикул;Наименование;Группа;Статистика;Кол-во;Цена;Питер-5;Е;%
5636344;Ремень приводной генератора L=120, а/м Астра J;General Motors;;3;656,00;;;
1340272;Ремень приводной генератора L=180, а/м Астра GTC;General Motors;;3;225,76;1845,85;1625,44;619,97 
5PK1546;Ремень приводной генератора, а/м Астра Н;General Motors;;4;88,23;;;
5PK1355;Ремень приводной генератора, а/м Астра Н;General Motors;;2;89,73;320,15;280,34;212,42 
89019204;Ремкомплект гидроусилителя;General Motors;;1;638,33;2511,8;2224,8;248,53 
96457602;Решетка вентиляции салона, а/м Авео;General Motors;;1;21,21;50,35;44,08;107,84 
6400639;Решетка п/бампера нижняя, а/м Корса D;General Motors;;2;158,23;;;
96687076;Решетка радиатора верх., а/м Спарк М300;General Motors;;2;299,81;2236,3;1969,26;556,83 
96547248;Решетка радиатора, а/м Лачетти сед. (95015354);General Motors;;2;574,82;3803,8;3369,17;486,13 
636527;Ролик натяжителя приводного ремня, а/м Антара;General Motors;;1;2 957,95;11444,65;10304,92;248,38 
1854740;Ролик натяжителя приводного ремня, а/м Астра GTC;General Motors;;5;140,90;;;
6340532;Ролик натяжителя приводного ремня, а/м Астра Н/Зафира В;General Motors;;3;680,00;2179,3;1919,07;182,22 
1340266;Ролик натяжителя приводного ремня, а/м КорсаD(Z12XEP,Z14XEL);General Motors;;1;1 212,72;5691,45;5082,55;319,10 
5636743;Ролик натяжителя ремня ГРМ, а/м Астра J;General Motors;;3;226,40;;;
RT1508;Ролик обводной приводного ремня, а/м Вектра С (DTi);General Motors;;1;344,49;;;
93743754;Ручка багажника хромированная, а/м Авео сед.;General Motors;;2;291,67;5013,15;4464,46;1430,66 
2346635;Ручка багажной двери, Мокка;General Motors;;1;29,40;;;
96326829;Ручка внешняя пер. лев. двери, а/м Епика;General Motors;;1;162,23;589,95;516,59;218,43 
95212188;Ручка двери;General Motors;;1;119,83;487,35;426,75;256,12 
96863361;Ручка салона;General Motors;;1;69,55;308,75;270,35;288,69 
423060;Рычаг задней подвески;General Motors;;1;368,85;;;
20946158;рычаг передней подвески;General Motors;;1;2 898,49;11449,4;10309,2;255,68 
212303001031000;Рычаг поворотный левый;General Motors;;1;95,28;;;
212303001030000;Рычаг поворотный правый;General Motors;;1;90,67;;;
0167007;Рычаг регулятора высоты левого сидения;General Motors;;1;98,86;;;
96626425;Рычаг стабилизатора подвески;General Motors;32;2;570,19;1720,45;1515,01;165,70 
212305205065010;Рычаг стеклоочистителя ветрового окна;General Motors;;2;30,77;;;
MN100110;Сайлентблок MMC Airtek, Lancer (1995-2007) задн. попереч. рычага;General Motors;;4;82,68;;;
20946159;Сайлентблок задний переднего рычага, а/м CAPTIVA;General Motors;;1;831,53;1520;1338,49;60,97 
13230774;Сайлентблок рычага переднего задний, а/м Круз;General Motors;;6;1 919,98;1912,35;1683,99;-12,29 
212301802120200;Сальник внутреннего вала взборе;General Motors;;11;36,86;156,75;137,25;272,40 
212132301035000;Сальник внутреннего шарнира левый;General Motors;;9;3,31;10,45;9,15;176,28 
212132301034000;Сальник внутренниго шарнира правый;General Motors;;8;3,44;10,45;9,15;165,79 
642501;Сальник клапана;General Motors;;16;20,17;114;99,82;394,82 
210101005160020;Сальник коленчитого вала задний;General Motors;;9;20,20;54,15;47,41;134,74 
210101701043010;Сальник первичного вала КП;General Motors;;6;3,56;14,25;12,47;250,38 
212141701043000;Сальник первичного вала КП;General Motors;;6;8,22;26,6;23,29;183,24 
210102402052030;Сальник редуктора заднего моста;General Motors;;7;5,31;14,25;12,47;134,63 
212141005162000;Сальник С8002691 коленвала задний;General Motors;;7;104,96;289,75;253,72;141,74 
6223044;Светоотражатель правый Вектра С 2002-2008;General Motors;;1;90,64;1496,25;1317,58;1353,57 
1214528;Свеча зажигания  A16LET    Astra\ Insignia;General Motors;21;2;165,36;895,85;784,45;374,40 
96130723;Свеча зажигания (BKR6E), а/м Авео/Лачетти/Круз#/спарк м300;General Motors;5078;2;49,10;120,65;105,64;115,17 
4802249;Свеча зажигания ANTARA/CAPTIVA  (12622561);General Motors;;2;89,61;399,95;350,21;290,81 
1934737055576026;"Свеча зажигания Cruze 1,4T; Astra J 1.4T; Mokka 1.4T; Meriva B 1,4T; Zafira C 1,4T";General Motors;;2;89,15;;;
1934736812620540;Свеча зажигания Insignia 2,0T;General Motors;;8;72,93;;;
1214066;Свеча зажигания: A14NET,NEL,XER/Z12,14XEP/A12XEL,XER/B14NEL,NET (55576026);General Motors;74;5;177,97;659,3;577,32;224,40 
1214096;Свеча накала Мерива;General Motors;;3;256,50;636,5;557,35;117,29 
212141006240300;Скоба в сборе;General Motors;;8;2,50;6,65;5,82;132,42 
13345404;Скоба тормозного суппорта. а/м Круз;General Motors;;5;452,96;114;99,82;-77,96 
13345403;Скоба тормозного суппорта. а/м Круз з/л;General Motors;;5;452,96;89,3;78,19;-82,74 
1948336;Смазка механизма рул.привода;General Motors;;6;183,80;;;
1732821;Солнцезащитная шторка заднего стекла Corsa D;General Motors;;2;853,48;;;
1732822;Солнцезащитная шторка заднего стекла Корса D;General Motors;;2;767,88;1736,6;1529,23;99,15 
1705064;Спойлер задний Corsa D;General Motors;;1;2 204,04;3629;3214,34;45,84 
1719281;Спойлер задний OPEL Insignia (Sedan) ниж;General Motors;;1;1 905,79;4617;4111,67;115,75 
96806104;Спойлер задний, а/м Авео T-250 sed;General Motors;;1;1 167,27;5267,75;4691,2;301,90 
96545706;Спойлер задний, а/м Лачетти;General Motors;;2;610,11;6152,2;5494,01;800,49 
95972315;Спойлер, а/м Авео Т300 (хечбек,задний);General Motors;;1;711,20;163,4;143,08;-79,88 
212302906010000;Стабилизатор в сборе;General Motors;;1;126,42;;;
350181;Стабилизатор поперечной устойчивости, а/м Корса D;General Motors;;2;1 399,36;;;
0000193175885000;Стартер в сборе;General Motors;;1;986,42;;;
94552554;Стекло ветровое;General Motors;;1;3 589,48;14360,2;12930,12;260,22 
96984863;Стеклоподъемник двери (механический) (95999488), а/м Круз;General Motors;;1;489,72;7833,7;7034,57;1336,44 
95999487;Стеклоподъемник двери (механический), а/м Круз;General Motors;;1;303,28;7136,4;6390,04;2007,00 
95999490;Стеклоподъемник двери (электрический) а/м Круз;General Motors;;1;603,31;339,15;296,97;-50,78 
95999489;Стеклоподъемник двери (электрический), а/м Круз;General Motors;;2;603,31;1124,8;984,93;63,25 
140340;Стеклоподъемник двери Астра J;General Motors;;2;1 568,32;;;
95983553;СТЕРЖЕНЬ РЕЗЬБОВОЙ М6;General Motors;;1;10,53;4,75;4,15;-60,61 
4817515;Стойка стабилизатора подвески, а/м Антара прав;General Motors;;1;221,49;;;
1222578;Стоп-сигнал дополнительный;General Motors;;1;304,07;;;
1082T200R;Ступица задняя, а/м Авео;General Motors;;1;501,25;;;
326004;Ступица колеса;General Motors;;1;1 239,01;;;
326012;Ступица колеса;General Motors;;2;949,14;;;
328032;Ступица колеса;General Motors;;2;1 405,67;7944,85;7134,38;407,54 
1604017;Ступица колеса заднего в сборе Корса D;General Motors;;1;988,73;5457,75;4860,4;391,58 
1604316;Ступица колеса заднего в сборе, а/м Астра Н;General Motors;;2;3 025,57;3719,25;3294,28;8,88 
96471776;Ступица колеса заднего, а/м Авео;General Motors;;1;782,00;3249,95;2878,6;268,11 
13577406;Ступица колеса задняя КРУЗ 2;General Motors;;2;1 338,13;4978,95;4434,01;231,36 
1603253;Ступица колеса переднего, а/м Астра Н/Зафира В;General Motors;;4;2 421,49;5244;4670,05;92,86 
1934764913583478;"Ступица передняя (Cruze; Astra J)";General Motors;;1;574,71;;;
13269018;Стяжка задн. внутр верх прав., Круз;General Motors;;1;0,24;212,8;186,33;78327,99 
000017501413100;Сумка спортивная с символикой;General Motors;;5;198,75;748,6;655,51;229,82 
000017501413100;Сумка спортивная с символикой;General Motors;;1;198,75;748,6;655,51;229,82 
13301190;Суппорт тормозной правый;General Motors;;1;1 588,38;3332,6;2951,81;85,84 
TSMSR0;Телематическая система R-0;General Motors;;3;1 701,70;3032,4;2685,91;57,84 
212303408200010;Теплообменник ГУР в сборе;General Motors;;1;134,01;;;
212301306010050;Термостат;General Motors;;1;62,45;348,65;305,29;388,87 
4431105D;Термостат Z18xer Z16XER;General Motors;;2;1 170,06;;;
212301306010010;Термостат в сборе;General Motors;;1;81,99;;;
95938113;Токораспределительная коробка;General Motors;;2;3 153,84;4238,9;3754,56;19,05 
4805453;Толкатель клапана двигателя Круз 2.0;General Motors;;4;103,47;831,25;727,88;603,49 
194205893746642;"Тормозная жидкость ""DOT-4+"",  0,5L(1942421)";General Motors;;4;97,04;;;
542110;Тормозной супполрт/2;General Motors;;1;2 409,19;;;
0713;Тосол 10л;General Motors;;1;213,41;;;
000017504665200;Трос буксировочный с крюками, 5 т;General Motors;;1;120,99;296,4;259,54;114,51 
000017504665200;Трос буксировочный с крюками, 5 т;General Motors;;1;120,99;296,4;259,54;114,51 
000017504665100;Трос буксировочный с шаклами;General Motors;;1;109,21;;;
759146;Трос переключения передач АКПП;General Motors;;1;367,91;;;
522057;Трос ручного тормоза в сборе Инсигния;General Motors;;1;166,89;;;
522449;Трос стояночного тормоза  в пластиковой оболочке КорсаС;General Motors;;1;49,91;;;
522069;Трос стояночного тормоза в сборе Астра Н унив;General Motors;;1;556,49;;;
1178013;Тросик капота, астра;General Motors;;1;0,24;;;
212308120052210;Трубка 5/16, конденсатор- ресивер;General Motors;;1;90,60;462,65;405,12;347,14 
1850141;Трубка дренажная (сливная) кондиционера, а/м Астра J;General Motors;;1;44,21;255,55;223,77;406,19 
1850140;Трубка дренажная (сливная) кондиционера, а/м Астра J;General Motors;;1;30,74;25,65;22,46;-26,93 
96859682;Трубка компрессора кондиционера Авео 2004-2008;General Motors;;1;542,81;2197,35;1934,96;256,47 
212308120790410;Трубка конденс нагнетающая, Нива;General Motors;;1;116,26;559,55;489,97;321,46 
951066;Трубка маслоохладителя рулевого Круз;General Motors;;4;3 593,87;19675,45;17716,05;392,95 
212141006201300;Трубка првода масла в сборе;General Motors;;1;28,99;71,25;62,39;115,18 
1609130;Трубка рулевого управления Круз;General Motors;;1;298,23;;;
96941802;Трубка системы охлаждения;General Motors;;1;464,94;931,95;816,06;75,52 
13301834;Трубка системы рулевого управления;General Motors;;3;1 014,49;2264,8;2006,02;97,74 
13301831;Трубка системы рулевого управления  диаг.;General Motors;;2;2 045,27;6625,3;5916,5;189,28 
6450505;Трубка стеклоомывателя;General Motors;;1;563,27;2772,1;2455,35;335,91 
13337678;Трубки ГУРа (компл), а/м Круз;General Motors;;4;169,70;287,85;252,05;48,53 
96987849;Трубки системы рулевого управления;General Motors;;2;253,50;1950,35;1717,46;577,50 
212308120790310;Трубопровод конденсатор-компресор;General Motors;;1;121,69;870,2;761,99;526,18 
94732684;Тяга замка двери;General Motors;;1;10,83;63,65;55,73;414,64 
1609219;Тяга рулевая;General Motors;;3;259,64;1510,5;1330,13;412,29 
1609218;Тяга рулевая;General Motors;;3;259,64;1129,55;989,09;280,94 
1609217;Тяга рулевая;General Motors;;2;259,64;603,25;528,23;103,44 
212303414010200;Тяга средняя рулевой;General Motors;;1;184,13;299,25;262,04;42,32 
181725;Удлинительная панель кузова;General Motors;;1;382,22;;;
95969583;Узел двигателя опорный;General Motors;;2;582,40;556,7;487,47;-16,30 
96634352;Указатель поворота Епика 2007-2011;General Motors;;1;685,65;2632,45;2331,66;240,06 
93743581;Указатель поворота зеркала правого Каптива;General Motors;;1;568,68;;;
KAD07C0;Универсальный блок электрооборудования;General Motors;;3;644,76;;;
5164631;Уплотнение окна двери Зафира В;General Motors;;1;144,47;;;
1222396;Уплотнение тормозного фонаря;General Motors;;2;39,39;;;
835286;Уплотнение трубки промежуточного охлаждения;General Motors;;1;93,12;;;
1302533;Уплотнение трубопровода;General Motors;;1;108,39;;;
1338242;Уплотнение шланга охлажд.жидкости;General Motors;;1;26,94;;;
5157208;Уплотнения двери Астра Н;General Motors;;1;422,21;2385,45;2112,88;400,43 
96543056;Уплотнитель 3-уг стекла пер. лев.;General Motors;;9;9,52;4,75;4,15;-56,40 
13137846;Уплотнитель ветрового стекла;General Motors;;3;74,48;331,55;290,32;289,81 
96467019;Уплотнитель водосточной панели;General Motors;;2;22,40;1056,4;925,04;4029,80 
96931466;Уплотнитель двери прав., Круз;General Motors;;1;662,35;1843,95;1623,76;145,15 
161187;Уплотнитель лобового стекла OPEL;General Motors;;73;18,72;80,75;70,7;277,60 
212305403122010;Уплотнитель окна боковины правый;General Motors;;1;27,06;123,5;108,14;299,62 
95461572;Уплотнитель передней двери, а/м Орландо;General Motors;;1;265,37;;;
5164629;Уплотнитель порога лев.;General Motors;;1;303,87;;;
96486862;Уплотнитель стекла форточки Авео;General Motors;;10;9,52;1,9;1,66;-82,56 
1302276;Уплотнительное кольцо;General Motors;;1;77,10;;;
707922;Уплотнительное кольцо (93183611);General Motors;;1;359,98;;;
1239622;Уплотнительное кольцо датчика парковки;General Motors;;1;20,42;95,95;84,01;311,36 
652544;Уплотнительное кольцо масляного поддона;General Motors;;1;13,97;;;
463061;Уплотнительное кольцо шестерни дифференциала;General Motors;;8;34,34;128,25;112,3;227,00 
13266387;Упорная планка подрамника;General Motors;;1;122,83;760,95;666,33;442,48 
13250388;Упорное кольцо втулки подрамника подвески круз Орландо;General Motors;;1;35,73;197,6;173,02;384,25 
94580588;Упорное кольцо КПП;General Motors;;4;21,32;9,5;8,31;-61,02 
96845609;Усиление боковины кузова;General Motors;;1;0,24;625,1;547,37;230293,01 
1405257;Усилитель бампера;General Motors;;1;1 479,45;8904,35;8017,6;441,93 
1405069;Усилитель бампера заднего Астра J;General Motors;;1;1 146,92;15534,4;13987,39;1119,56 
95459802;Усилитель бамперапереднего нижний Круз 95323235;General Motors;;1;312,56;;;
212303510006110;Усилитель вакумный тормоза с цилиндром;General Motors;;1;738,58;3798,1;3364,12;355,48 
RLCVTCRZ04;Фара задняя Круз;General Motors;;1;3 444,92;;;
1216811;Фара передняя;General Motors;;1;2 133,51;19608;17655,32;727,52 
1216810;Фара передняя;General Motors;;1;2 375,00;15686,4;14124,25;494,70 
1216806;Фара передняя;General Motors;;1;1 686,92;9047,8;8146,76;382,94 
1216807;Фара передняя;General Motors;;1;1 686,92;9047,8;8146,76;382,94 
95479489;Фара передняя пр., а/м Круз;General Motors;;1;2 375,98;27807,45;25038,22;953,81 
20839664;Фара правая ксенон, Антара;General Motors;;1;4 715,68;24551,8;22106,78;368,79 
1710358;Фара противотуманная левая;General Motors;;2;642,38;2388,3;2115,41;229,31 
1710377;Фара противотуманная левая, а/м Корса D;General Motors;;1;519,86;2481,4;2197,87;322,78 
22181170;Фара противотуманная левая, а/м Ланос;General Motors;;1;78,13;;;
95989995;Фара противотуманная правая Круз;General Motors;;2;465,20;1437,35;1265,71;172,08 
1710376;Фара противотуманная правая, а/м Корса D;General Motors;;2;519,86;1645,4;1448,92;178,71 
96850515;Фара противотуманная правая, а/м Орландо;General Motors;;1;488,46;2583,05;2287,9;368,39 
6710027;Фара противотуманная, а/м Астра Н;General Motors;;1;1 067,67;1845,85;1625,44;52,24 
96844210;Фара противотуманная, а/м Спарк М300;General Motors;;1;336,15;1951,3;1718,29;411,17 
96844211;Фара противотуманная, а/м Спарк М300;General Motors;;1;336,15;1349;1187,91;253,39 
BGRLCVTCRZ;Фары задние Круз;General Motors;;1;3 444,92;;;
RLCVTCRZ07;Фары задние Круз;General Motors;;1;2 969,76;;;
X0610014;Фары противотуманные, а/м Авео;General Motors;;1;2 020,84;2577,35;2282,86;12,97 
X0610015;Фары противотуманные, а/м Авео (сед.);General Motors;;1;2 555,15;2410,15;2134,76;-16,45 
2228000;Фиксатор внутренней панели стойки кузова;General Motors;;2;11,44;60,8;53,23;365,41 
95493410;Фиксатор рейлинга крыши;General Motors;;1;73,47;103,55;90,67;23,40 
96873869;Фиксатор ручки салона;General Motors;;4;15,58;38;33,27;113,50 
13272717;Фильтр воздушный  Круз/Орландо/Астра J/Астра OPC(0835056) 0834622;General Motors;963;2;201,94;274,55;240,41;19,05 
1934747296950990;"Фильтр воздушный Aveo T300; Cobalt";General Motors;;4;42,64;;;
1934747013272717;"Фильтр воздушный Cruze 1,6; Cruze 1,8; Orlando 1,6; Orlando 1,8; Astra J 1,6; Zafira C";General Motors;;1;76,76;;;
1934747795021102;"Фильтр воздушный Mokka 1,4T; Mokka 1,8; Mokka 1,7D";General Motors;;4;108,00;;;
96815102;Фильтр воздушный Антара/Каптива 3.0 96628890  4807917;General Motors;25;2;401,51;1178,95;1038,17;158,57 
212301109010000;Фильтр воздушный в сборе;General Motors;;1;83,15;;;
22745824;Фильтр воздушный Каптива, Антара 2,2 4802876;General Motors;48;1;339,74;1031,7;903,41;165,91 
834762;Фильтр воздушный Мокка  (95021102);General Motors;;1;318,36;1117,2;978,28;207,29 
13272719;Фильтр воздушный, а/м Астра/Орландо DSL /GTC/Зафира Tourer A 20DTH  0834126;General Motors;86;1;285,10;695,4;608,93;113,59 
834125;Фильтр воздушный, а/м Инсигния (турбо/бензин, дизель) 13319421 / 0834895;General Motors;;2;261,34;973,75;852,67;226,27 
96263897;Фильтр воздушный, а/м Реззо;General Motors;25;4;101,71;241,3;211,29;107,74 
5650363;Фильтр масляный;General Motors;;13;179,37;670,7;587,3;227,43 
12605566;Фильтр масляный  двигателя Каптива 2.4/Инсигния2.0/Малибу(4804935);General Motors;314;1;226,10;349,6;306,12;35,39 
5650375;Фильтр масляный  мерива/зафира/мокка  дизель  1.7TD;General Motors;;2;154,43;806,55;706,26;357,34 
93185674;Фильтр масляный (картридж, 0650172, 5650359), а/м Круз/Астра/Корса/Авео Т300/Зафира С;General Motors;386;10;109,29;174,8;153,06;40,05 
1934746296879797;"Фильтр масляный Aveo T250; Cruze 1,6; Lacetti 1,6; Lacetti 1,8;";General Motors;;11;26,92;;;
1934746296879797;"Фильтр масляный Aveo T250; Cruze 1,6; Lacetti 1,6; Lacetti 1,8;";General Motors;;1;24,95;;;
93745801;Фильтр масляный Антара 2.2/Каптива2.2D/Круз 2.0/Орландо 2.0 (4818038);General Motors;91;2;361,99;1406,95;1238,94;242,26 
813569;Фильтр масляный, а/м Астра Н/Корса С/Зафира В(Z13DT);General Motors;;10;224,53;2913,65;2580,73;1049,41 
92142009;"Фильтр масляный, а/м Каптива/Антара (Z24SED); Astra H - X18XE (0650104)";General Motors;;4;128,47;432,25;378,5;194,62 
96985730;Фильтр масляный, а/м Кобальт/ Авео/Спарк М300;General Motors;571;2;79,73;284,05;248,73;211,95 
210801012005080;Фильтр масляный, а/м Нива;General Motors;;1;83,15;117,8;103,15;24,05 
13271190;Фильтр салона  13503675 Круз/ Орландо/АвеоТ300/астра J/кобальт/мерива А/мокка/Кобальт;General Motors;939;10;206,70;336,3;294,48;42,47 
6808607;Фильтр салона угольный, а/м Астра Н;General Motors;23;1;166,31;556,7;487,47;193,12 
1718042;Фильтр салона угольный, а/м Зафира В;General Motors;;1;289,85;1354,7;1192,93;311,57 
1808012;Фильтр салона угольный, а/м Корса C/D;General Motors;;1;289,85;3148,3;2788,57;862,08 
96962173;Фильтр салона, а/м Авео;General Motors;71;1;126,32;304,95;267,03;111,38 
MS6119;Фильтр салона, а/м Вектра С;General Motors;;1;33,26;;;
96327366;Фильтр салона, а/м Епика;General Motors;;3;322,50;422,75;370,18;14,78 
4819126;Фильтр салона, а/м Каптива, Антара 22753219 4803883  96440878;General Motors;;2;306,50;1263,5;1112,62;263,01 
93740495;Фильтр салона, а/м Реззо;General Motors;;3;51,16;285,95;250,39;389,46 
93740495;Фильтр салона, а/м Реззо;General Motors;;10;400,74;285,95;250,39;-37,52 
111801139200000;Фильтр сетчатый ЭБН в сборе;General Motors;;4;7,94;;;
5818085;Фильтр топливный Инсигния/Зафира Турер/Орландо (дизель) (13263262);General Motors;;4;240,17;1118,15;979,11;307,67 
813058;Фильтр топливный Мерива 2003-2010;General Motors;;3;649,91;;;
55354565;Фитинг воздухоочистителя;General Motors;;1;173,58;258,4;226,26;30,35 
0702284;Фитинг стеклоомывателя;General Motors;;1;16,16;;;
1719184;Фольга с основой Астра J 2010-2014 защита кузова;General Motors;;1;1 706,02;3443,75;3050,26;78,79 
BGTOPINS;Фонари заднии Opel insignia;General Motors;;1;3 207,35;;;
BGTOPINS;Фонари заднии Opel insignia;General Motors;;1;3 207,35;;;
96540274;Фонарь дополн. стоп-сигнала;General Motors;;1;373,36;87,4;76,53;-79,50 
95918867;"Фонарь дополнительного ""СТОП-СИГНАЛА""";General Motors;;1;1 087,92;4061,25;3597,2;230,65 
96830495;Фонарь зад. прав. внут., а/м Круз сед.;General Motors;;2;1 418,80;;;
1222497;Фонарь задний;General Motors;;1;394,34;;;
1222498;Фонарь задний;General Motors;;1;394,34;;;
1222487;Фонарь задний;General Motors;;1;394,34;;;
1222488;Фонарь задний;General Motors;;1;394,34;;;
1222330;Фонарь задний /2;General Motors;;1;397,96;;;
1222295;Фонарь задний внутр., а/м Астра GTC;General Motors;;1;1 200,71;;;
1222108;Фонарь задний лев. внутренний, Астра J;General Motors;;1;835,26;;;
95021466;Фонарь задний левый внутр., а/м Орландо;General Motors;;1;597,29;1025,05;897,59;50,28 
1222165;Фонарь задний прав. внутренний, Астра J;General Motors;;1;835,26;3185,35;2821,39;237,79 
1222653;Фонарь задний прав., Астра Н сед.;General Motors;;1;887,75;;;
96851764;Фонарь задний правый, а/м Епика;General Motors;;2;707,59;2750,25;2436;244,27 
95144212;Фонарь здн Круз левый (95393941);General Motors;;2;1 601,04;6728,85;6025,11;276,32 
111801132010020;Форсунка Siemens(Дека1D shot|VAZ 20734);General Motors;;4;139,11;;;
1451042;Форсунка стеклоомывателя Астра J;General Motors;;2;15,53;502,55;440,06;2734,36 
R134A;Фреон;General Motors;;0;87,08;;;
R134A;Хладагент (фреон);General Motors;;12;99,29;;;
11570620;Хомут шланга ГУРа;General Motors;;1;14,47;72,2;63,22;336,80 
94580498;Хомут шланга заднего отверстия;General Motors;;5;7,93;11,4;9,98;25,81 
212102215090000;Хомут шруса;General Motors;;3;0,77;8,55;7,48;874,74 
636470;Цепь привода ГРМ;General Motors;;1;771,53;;;
615072;Цепь привода ГРМ;General Motors;;1;252,95;;;
615066;Цепь привода ГРМ;General Motors;;1;252,95;;;
25185273;Цилиндр сцепления;General Motors;;1;318,60;2018,75;1777,69;457,98 
5679355;Цилиндр сцепления в сборе, для мех кпп F40;General Motors;;1;1 719,32;7182,95;6431,72;274,09 
212306105006300;Цилиндры выкл замков дверей с выкл.(к-т);General Motors;;1;577,02;1695,75;1493,26;158,79 
2705А013;Шайба металлическая;General Motors;;1;27,85;;;
210102904228000;Шайба регулировочная 3,0 мм;General Motors;;20;2,54;12,35;10,81;326,03 
212102904040000;Шарнир нижнего рычага;General Motors;;4;21,98;55,1;48,24;119,46 
212142904040000;Шарнир нижнего рычага передней подвески;General Motors;33;12;15,41;120,65;105,64;585,34 
25182799;Шестерня КПП, а/м Епика;General Motors;;1;877,71;204,25;178,85;-79,62 
25182794;Шестерня синхронизатора КПП, а/м Епика;General Motors;;1;198,70;569,05;498,29;150,78 
636166;Шкив натяжителя ремня ГРМ;General Motors;;2;961,12;;;
120417713258483;Шкиф генератора 2;General Motors;;1;1 751,63;;;
96435138;Шкиф компресора кондинционера;General Motors;;1;468,09;1870,55;1647,19;251,89 
860595;Шланг впускной;General Motors;;1;1 762,57;;;
212303408018000;Шланг высокого давления в сборе;General Motors;;2;177,40;1304,35;1148,59;547,47 
212303506060050;Шланг гибкий переднего тормоза в сборе;General Motors;;4;41,79;196,65;172,19;312,01 
212301104218010;Шланг перед. топл. трубки и топлив трубопр;General Motors;;1;67,61;;;
1336370;Шланг системы охлаждения;General Motors;;2;59,94;372,4;326,09;444,01 
95018088;Шланг системы охлаждения;General Motors;;2;371,42;1159,95;1021,44;175,01 
96863736;Шланг тормозной системы;General Motors;;1;160,94;2140,35;1884,77;1071,07 
000010002059200;шпонка;General Motors;;10;3,02;;;
1603274;Шрус в сборе (со смаской) 2;General Motors;;1;2 564,40;9863,85;8881,55;246,34 
96391550;Шрус в сборе, а/м Авео;General Motors;;1;1 634,12;3203,4;2837,37;73,63 
CHR2218;Штатное головное устройства;General Motors;;1;5 785,10;;;
CHR1209;Штатное головное устройство (Астра J);General Motors;;1;5 582,68;8567,1;7693,15;37,80 
25192484;Шток передачи заднего хода;General Motors;;1;262,04;150,1;131,43;-49,84 
6272550;Щетка  стеклоочистителя- опель Антара;General Motors;;5;45,62;116,85;102,32;124,30 
127203195508195;Щетка стеклоочистителя к-т, а/м Астра J;General Motors;;1;520,15;;;
6272562;Щетка стеклоочистителя, а/м Корса D 1272340;General Motors;;1;61,47;475,95;416,76;578,02 
6272545;Щетки  стеклоочистителя  Вектра С 2 шт.;General Motors;;3;368,76;1024,1;896,76;143,18 
5852695;Щиток защитный глушителя Корса D;General Motors;;1;67,91;;;
212141008042000;Экран защитный выпускного коллектора;General Motors;;3;93,37;;;
42438092;Экран защитный двигателя;General Motors;;1;3 870,76;3334,5;2953,49;-23,70 
212361139009150;Эл. бензонасос с д-ком ук-ля уровня топлива 2;General Motors;;1;610,77;1565,6;1378,65;125,72 
212301300025100;Электровентиляторы с кожухом в сборе;General Motors;;1;852,51;3422,85;3031,75;255,63 
6207118;Электродвигатель зеркала заднего обзора;General Motors;;1;467,10;2113,75;1861,35;298,49 
1207217;Электродвигатель механизма регулировки/2;General Motors;;2;578,15;;;
94550813;Электродвигатель стеклопдъёмника;General Motors;;1;2 403,66;4953,3;4411,16;83,52 
4814307;Электродвигатель стеклоподъемного механизма;General Motors;;1;868,79;3050,45;2701,9;211,00 
1247151;Электронный модуль системы впрыска;General Motors;;1;5 707,32;;;
5177139;Эмблема;General Motors;;1;321,68;;;
5164605;"Эмблема ""Zafira""";General Motors;;1;140,86;879,7;770,31;446,86 
96886676;"Эмблема ""Шевроле"" задн., а/м Орландо";General Motors;;1;166,00;258,4;226,26;36,30 
96635476;"Эмблема ""Шевроле"", а/м Епика";General Motors;;1;98,41;646,95;566,5;475,68 
95122573;Эмблема Шевролет Спарк;General Motors;;1;119,23;2443,4;2164,21;1715,08 
